25-jährige;25-year-old
30-jährige;30-year-old
 80er;80
 Jahre;years
 90er;90
 Jahre;years
 achtziger;eighties
 Jahre;years
 achtziger;eighties
 Jahren;years
 auf;on
 keinen;no
 Fall;Case
 Befragten;respondent
 Behinderte;Disabled person
 Behinderten;disabled
 D-Mark;D-Mark
 darüber;about that
 hinaus;addition
 DDR-Zeiten;GDR times
 Dritten;third
 Welt;World
 fünfziger;fifties
 Jahre;years
 fünfziger;fifties
 Jahren;years
 im;in the
 Grunde;Reasons
 im;in the
 übrigen;other
 Intellektuellen;intellectual
 Interessierter;interested
 Kapitalerhöhung;capital increase
 Konservativen;conservative
 Landratsamt;District Office
 Linken;left
 neunziger;nineties
 Jahre;years
 Ost-Berlin;East Berlin
 Ostdeutschen;East Germans
 Photos;photos
 Release;release
 schoß;lap
 sechziger;sixties
 Jahre;years
 sechziger;sixties
 Jahren;years
 seitens;the part
 siebziger;seventies
 Jahre;years
 siebziger;seventies
 Jahren;years
 so;so
 genannt;called
 US-amerikanischen;US
 US-Präsident;US President
 US-Regierung;U.S. government
 vorangegangenen;previous
 zum;to the
 anderen;other
 zum;to the
 einen;a
 zustande;conditions
 Zweite;Second
 Weltkrieg;World War II
 öffentlicher;public
 Dienst;Service
 der;of the
 die;the
 und;and
 in;in
 den;the
 von;from
 zu;to
 das;the
 mit;With
 sich;themselves
 des;of
 auf;on
 für;For
 ist;is
 im;in the
 dem;the
 nicht;Not
 ein;on
 eine;a
 als;as
 auch;also
 es;it
 an;at
 werden;become
 aus;out
 er;he
 hat;Has
 daß;that
 sie;you
 nach;after
 wird;becomes
 bei;at
 einer;a
 um;around
 am;at the
 sind;are
 noch;still
 wie;as
 einem;a
 über;about
 einen;a
 so;so
 Sie;You
 zum;to the
 war;was
 haben;to have
 nur;just
 oder;or
 aber;but
 vor;in front
 zur;for
 bis;to
 mehr;more
 durch;by
 man;you
 sein;be
 wurde;has been
 sei;be
 In;In
 Prozent;Percent
 hatte;would have
 kann;can
 gegen;against
 vom;from
 können;can
 schon;beautiful
 wenn;if
 habe;have
 seine;his
 Mark;Mark
 ihre;your
 dann;then
 unter;under
 wir;we
 soll;should
 ich;I
 eines;one
 Es;It
 Jahr;Year
 zwei;two
 Jahren;years
 diese;these
 dieser;this
 wieder;again
 keine;no
 Uhr;Clock
 seiner;his
 worden;been
 will;want
 zwischen;between
 Im;In the
 immer;always
 Millionen;Millions
 was;What
 sagte;said
 Er;He
 gibt;gives
 alle;all
 DM;DM
 diesem;this
 seit;since
 muß;got to
 wurden;were
 beim;at the
 doch;but
 jetzt;now
 waren;were
 drei;three
 Jahre;years
 neue;new
 neuen;new
 damit;in order to
 bereits;already
 da;there
 Auch;Also
 ihr;her
 seinen;his
 müssen;have to
 ab;from
 ihrer;of their
 ohne;without
 sondern;rather
 selbst;even
 ersten;first
 nun;now
 etwa;about
 Bei;In
 heute;today
 ihren;their
 weil;because
 ihm;him
 seien;are
 Menschen;People
 Deutschland;Germany
 anderen;other
 werde;will
 Ich;I
 sagt;says
 Eine;A
 rund;round
 Aber;But
 ihn;him
 Ende;The End
 jedoch;However
 Zeit;Time
 sollen;should
 ins;ins
 Wenn;If
 So;So
 seinem;his
 uns;us
 Stadt;City
 geht;goes
 sehr;very
 hier;here
 ganz;all
 erst;first
 wollen;want
 Berlin;Berlin
 vor;in front
 allem;everything
 sowie;as
 hatten;had
 kein;no
 deutschen;German
 machen;do
 lassen;to let
 Als;As
 Unternehmen;Companies
 andere;other
 ob;if
 dieses;this
 steht;stands
 dabei;it
 wegen;because of
 weiter;continue
 denn;because
 beiden;both
 einmal;once
 etwas;something
 nichts;Nothing
 allerdings;Indeed
 vier;four
 gut;Good
 viele;lots
 wo;Where
 viel;a lot of
 dort;there
 alles;everything
 wäre;would
 SPD;SPD
 kommt;comes
 vergangenen;past
 denen;where
 fast;nearly
 fünf;five
 könnte;could
 hätten;would
 Frau;Mrs
 Am;At the
 dafür;for this
 kommen;come
 diesen;this
 letzten;last
 zwar;though
 großen;large
 dazu;to
 Mann;Man
 Da;There
 sollte;should
 würde;would
 also;so
 bisher;so far
 Leben;Life
 Milliarden;billion
 Welt;World
 Regierung;Government
 konnte;could
 ihrem;her
 Frauen;women
 während;while
 Land;Country
 zehn;ten
 würden;would
 stehen;stand
 ja;Yes
 USA;USA
 heißt;called
 dies;this
 zurück;back
 Kinder;Children
 dessen;whose
 ihnen;them
 deren;their
 sogar;even
 Frage;Question
 gewesen;been
 erste;first
 gab;gave
 liegt;lies
